	Attacking creatures in combat lose flanking. Chaos deals 1 damage to all attacking creatures without flying.	Barbed Foliage	
	Sacrifice a permanent. Add one mana of any color to your mana pool. Draw a card.	Barbed Sextant	
	Choose a creature type in combat. All creatures of that type have "2: This creature gets +1/+0 this combat." this combat.	Barbed Sliver 	
	Green creatures get -1/-1 this combat for each Swamp you control.	Barbed-Back Wurm	
	Create a 6/4 green Wurm creature token. Blockers may be reassigned.	Barbtooth Wurm	
	Target opponent draws a card. You gain 7 life.	Bargain	
	Whenever a creature is put into your graveyard from play this combat, remove it from the game, then shuffle all creature cards from your graveyard into your library.	Barishi	
	Create a 6/5 black and red Human Warrior creature token. Blockers may be reassigned.	Barktooth Warbeard	
	Tap a creature for every 3 lands you control.	Barl's Cage	
	Whenever a creature dealt damage by another creature is put into a graveyard this combat, put a +2/+2 counter on the creature(s) that dealt the damage. Tap a creature you control. Regenerate a Vampire.	Baron Sengir	
	Target untapped creature gets +1/+1 this turn for each creature blocking it and gains trample this turn.	Barreling Attack	
	Sacrifice a creature unless you remove the top creature card in your graveyard from the game.	Barrow Ghoul	
	Put all Aura spells into their owners' graveyard.	Bartel Runeaxe	
	Sacrifice a creature you control. Add BB to your mana pool.	Basal Thrull	
	Creatures can't be blocked by artifact creatures this combat. Whenever a creature becomes blocked, the defender sacrifices the blocker at end of combat. If the player does, he or she creates a 0/2 Wall artifact creature token with defender.	Basalt Golem	
	Add 3 to your mana pool until end of turn.	Basalt Monolith	
	Target creature gains banding this combat.	Baton of Morale	
	Target creature controlled by the active player gains banding this combat. Whenever a creature becomes blocked by a Wall this combat, destroy that Wall at end of combat.	Battering Ram	
	Untap all white creatures you control. Whenever a creature blocks this combat, it gets +0/+1 this turn.	Battle Cry	
	Green creatures get +1/+1 this turn. Nongreen creatures get +1/+0 this combat.	Battle Frenzy	
	If you have 200 or more cards in your library, you win the game.	Battle of Wits	
	Create a 1/1 blue Bird creature token with flying and vigilance. Blockers may be reassigned.	Bay Falcon	
	Target creature in combat gets flying and swampwalk this combat.	Bayou Dragonfly 	
	Draw two cards, then discard three cards.	Bazaar of Baghdad	
	Remove all cards in all graveyards from the game. Whenever a spell is played this combat, counter it if a card with the same name is in a graveyard or a nontoken permanent with the same name is in play.	Bazaar of Wonders	
	Chaos deals 5 damage to target creature or player.	Beacon of Destruction	
	Double target player's life total.	Beacon of Immortality	
	Put target artifact or creature card in a graveyard onto the battlefield.	Beacon of Unrest	
	Create a 2/2 green Bear creature token. Blockers may be reassigned.	Bear Cub	
	Target creature you control has +X/+X this combat, where X is equal to the number of creatures in play.	Beast of Burden	
	Target untapped creature you control gains banding this combat.	Beast Walkers	
	Target creature you control has protection from red this combat. That creature also gets +1/+1 this combat as long as any opponent controls a white permanent.	Beasts of Bogardan	
	Creatures can't block this combat.	Bedlam	
	Chaos deals 2 damage to target creature or player.	Bee Sting	
	Destroy target land or nonblack creature. It can't be regenerated.	Befoul	
	Target creature in combat gets +2/+2 and has trample and lifelink until end of turn.	Behemoth Sledge	
	Whenever a creature deals damage to another creature this combat, Chaos deals 3 damage to the damaged creature's controller and 3 damage to the controller of the creature that did the damage.	Bellowing Fiend	
	Create a 1/1 Human Soldier creature token with banding. Blockers may be reassigned.	Benalish Hero	
	Create a 1/3 white Human Soldier creature token with banding. Blockers may be reasigned.	Benalish Infantry	
	Create a 2/2 white Human Knight creature token with first strike. Blockers may be reassigned.	Benalish Knight	
	Prevent all combat damage that would be dealt by target blocked creature this combat.	Benalish Missionary	
	If a spell would deal damage to a creature or player this combat, it deals that much damage minus 1 to that creature or player instead.	Benevolent Unicorn	
	Target attacking creature gets islandwalk this combat.	Benthic Behemoth	
	You lose 2 life.	Benthic Djinn	
	Untap a tapped land an opponent controls. Add one mana of any type that land could produce to your mana pool.	Benthic Explorers	
	Whenever a green creature is put into a graveyard from play this combat, its controller discards a card.	Bereavement	
	Target creature in combat gains trample and gets +X/+0 this combat, where X is its power. At end of turn, sacrifice that creature if it was an attacker.	Berserk	
	Whenever target attacking creature is blocked this combat, it gets +4/+0 and gains trample this combat.	Bestial Fury	
	Whenever a creature you don't control becomes tapped this combat, you draw a card.	Betrayal	
	Choose one - Sacrifice a creature and target creature in combat gets +2/+0 this combat; or Sacrifice an enchanted creature and creatures you control get +2/+0 this combat.	Betrothed of Fire	
	Whenever target creature in combat is dealt damage this combat, Chaos deals that much damage to its controller.	Binding Agony	
	You control target creature. It gets +0/+1. At the end of combat, sacrifice that creature unless you pay 1U.	Binding Grasp	
	Each player's life total becomes the number of creatures he or she controls.	Biorhythm	
	Create a 1/2 red Human Bird creature token with flying. Blockers may be reassigned.	Bird Maiden	
	Create a 0/1 green Bird creature token with "Tap: Add one mana of any color". Blockers may be reassigned.	Birds of Paradise	
	Chaos deals 4 damage to target creature in combat. Cascade the next spell you cast until end of turn.	Bituminous Blast	
	Tap all creatures. Sacrifice a creature. Untap a creature.	Black Carriage	
	Create a 2/2 black Human Knight creature token with first strike and protection from white. Blockers may be reassigned.	Black Knight	
	Add 3 mana of any one color to your mana pool until end of turn.	Black Lotus	
	Roll 1d6+1. Add that amount of B to your mana pool.	Black Mana Battery	
	Target attacking creature can't be blocked by black creatures this combat. Target creature you control gets +2/+2 this turn as long as an opponent controls a black permanent.	Black Scarab	
	Chaos deals X damage to target player, where X is the number of cards in his or her hand minus 4.	Black Vise	
	Target creature in combat gains protection from black until end of turn.	Black Ward	
	Tear a card you own into pieces. Add four mana of any one color to your mana pool.	Blacker Lotus	
	Target player in combat reveals three cards from his or her hand. You choose one of them. That player discards that card.	Blackmail	
	Target creature in combat gets +1/+1 this turn for each Forest you control.	Blanchwood Armor	
	Each land is a Swamp in addition to its other land types this combat.	Blanket of Night	
	Chaos deals 1d6 damage to target creature in combat or player.	Blaze	
	Target blocker can and must block each attacking creature this combat if able. Blockers may be reassigned.	Blaze of Glory	
