		Tap an untapped creature you control: Tap target creature with power 2 or less. Play this effect only once per turn.	Aysen Bureaucrats		
		Creatures have power and toughness each equal to 2 plus the number of Soldiers and Warriors you control.	Aysen Crusader		
		White creatures have plainswalk.	Aysen Highway		
		U: Creatures you control get +1/+0 this turn. Play this effect only once per turn.	Azimaet Drake		
		At the beginning of your upkeep, create a 2/4 blue Drake creature token with flying.	Azure Drake		
		Attach all creatures you control on the battlefield in pairs of two. These creatures are treated as one big creature that keeps all abilities of both creatures, has power and toughness equal to the sum of each creature, and can only be blocked by three or more creatures. Singular creatures are not creatures until they have another creature attached to them. If one half of the pair leaves play, the other half is sacrificed. When this effect leaves play, unattach all creatures.	B.F.M. (Big Furry Monster)		
		Whenever a sorcery spell deals damage, Chaos deals half that much damage, rounded down, to that spell's controller.	Backdraft		
		Whenever a creature you control deals damage, Chaos deals that much damage to you. 	Backfire		
		Black creatures get +1/+1.	Bad Moon		
		Lands enter the battlefield tapped. Tap and sacrifice a land you control: Search your library for an Island or Swamp card and put it onto the battlefield. Then shuffle your library. Play this effect as a sorcery and only once per turn.	Bad River		
		2UU: Chaos deals 2 damage to each creature for each Aura attached to that creature. Play this effect as a sorcery.	Baki's Curse		
		At the beginning of your upkeep, each player sacrifices lands until all players control the same number of lands as the player who controls the fewest. Players discard cards the same way, then sacrifice creatures the same way.	Balance		
		At the end of each player's turn, each player draws cards until they have as many as the player with the most cards in their hand.	Balance of Power		
		At the beginning of your upkeep, create a 3/2 red Human Barbarian creature token.	Balduvian Barbarians		
1		At the beginning of your upkeep, create a 2/2 green Bear creature token.	Balduvian Bears		
		Snow lands become 2/2 creatures that are still lands.	Balduvian Conjurer		
		2R, Exile a creature card in your graveyard: Create a 3/1 black and red Graveborn creature token with haste. Sacrifice it at end of turn.	Balduvian Dead		
		Whenever a creature enters the battlefield under your control, sacrifice it unless you discard a card at random.	Balduvian Horde		
		XRR: Target creature enters the battlefield with X +1/+0 counters on it. Remove a +1/+0 counter from a creature you control: Prevent the next 1 damage that would be dealt to that creature this turn. RRR: Put a +1/+0 counter on a creature you control. Play the last effect only during your upkeep.	Balduvian Hydra		
		Tap an untapped creature you control: Change the text of target white enchantment you control that doesn't have cumulative upkeep by replacing all instances of one color word with another. That enchantment gains "Cumulative upkeep 1." Play this effect only once per turn. (For example, you may change "counters black spells" to "counters blue spells.")	Balduvian Shaman		
		Play this effect only once per turn. Tap an untapped land you control: Choose one - Add 1R to your mana pool; or 1: That land deals 1 damage to target attacking creature.	Balduvian Trading Post		
		At the beginning of your upkeep, create a 3/3 red Human Barbarian creature token with haste and rampage 1.	Balduvian War-Makers		
		2U: Target opponent reveals his or her hand. You draw a card for each Mountain and red card in it. Play this effect as a sorcery.	Baleful Stare		
		Whenever a creature enters the battlefield under your control, it has trample and haste. Sacrifice it at end of turn.	Ball Lightning		
		XW, Tap an untapped creature you control: Chaos deals X damage to target attacking or blocking creature. Play this effect only once per turn.	Ballista Squad		
		1, Tap and sacrifice a permanent: Choose one - You gain 2 life; or prevent the next 2 damage that would be dealt to target creature or player this turn. Play this effect as a sorcery and only once per turn.	Balm of Restoration		
		W: Prevent the next 1 damage that would be dealt to target creature or player this turn. Draw a card.	Bandage		
		X, Tap an untapped creature you control: That creature deals X damage divided evenly between you and target creature or player. Round up for you and down for that creature or player.	Banshee		
		Creatures have Cycling 3. When you cycle a creature or a creature you control dies, you may create a 1/1 white Soldier creature token.	Bant Sojourners		
		As long as you control a multicolored permanent, creatures you control get +1/+1 and have first strike.	Bant Sureblade		
		At the beginning of your upkeep, create a 3/2 red Human Barbarian Soldier creature token with horsemanship.	Barbarian General		
		2R, Tap an untapped creature you control: Choose a land type. Target creature you control gains snow landwalk of the chosen type until end of turn. Return that creature to its owner's hand at end of turn. Play this effect only once per turn.	Barbarian Guides		
		At the beginning of your upkeep, create a 3/3 red Human Barbarian Soldier creature token.	Barbarian Horde		
		At the beginning of your upkeep, create a 2/2 green Ape creature token.	Barbary Apes		
		Whenever a creature attacks you, it loses flanking until end of turn. Whenever a creature without flying attacks you, Chaos deals 1 damage to it.	Barbed Foliage		
		1, Tap and sacrifice a permanent: Add one mana of any color to your mana pool. Draw a card. Play this effect as a sorcery and only once per turn.	Barbed Sextant		
		Creatures have "2: This creature gets +1/+0 until end of turn."	Barbed Sliver 		
		B: Green blocking creatures get -1/-1 this turn.	Barbed-Back Wurm		
		At the beginning of your upkeep, create a 6/4 green Wurm creature token.	Barbtooth Wurm		
		Target opponent draws a card: You gain 7 life. Play this effect as a sorcery.	Bargain		
		Whenever a creature is put into your graveyard from the battlefield, exile it, then shuffle all creature cards from your graveyard into your library.	Barishi		
		At the beginning of your upkeep, create a 6/5 black and red Human Warrior creature token.	Barktooth Warbeard		
		3: Target creature doesn't untap during its controller's next untap step.	Barl's Cage		
		Whenever a creature dealt damage by another creature is put into a graveyard this turn, put a +2/+2 counter on the creature(s) that dealt the damage. Tap an untapped creature you control: Regenerate a Vampire.	Baron Sengir		
		2RR: Target creature gets +1/+1 for each creature blocking it and gains trample this turn.	Barreling Attack		
		At the beginning of your upkeep, sacrifice a creature unless you exile the top creature card in your graveyard.	Barrow Ghoul		
		Creatures can't be the target of Aura spells.	Bartel Runeaxe		
		Tap and sacrifice a creature: Add BB to your mana pool. Play this effect as a sorcery and only once per turn.	Basal Thrull		
		Creatures can't be blocked by artifact creatures. Whenever a creature you control becomes blocked, the defender sacrifices the blocker at end of combat. If the player does, he or she creates a 0/2 Wall artifact creature token with defender.	Basalt Golem		
		At the beginning of your upkeep, add 3 to your mana pool until end of turn.	Basalt Monolith		
		2: Target creature gains banding until end of turn.	Baton of Morale		
