	Whenever a creature dealt damage by another creature is put into a graveyard this turn, put a +2/+2 counter on the creature(s) that dealt the damage. Tap a creature you control. Regenerate a Vampire.	Baron Sengir	
	Target creature you control gets +1/+1 this turn for each creature that blocks it and gains trample this turn.	Barreling Attack	
	Sacrifice a creature unless you remove the top creature card in your graveyard from the game.	Barrow Ghoul	
	Creatures can't be the target of Aura spells this turn.	Bartel Runeaxe	
	Sacrifice a creature. Add BB to your mana pool. This mana doesn't empty until end of turn.	Basal Thrull	
	Creatures can't be blocked by artifact creatures this turn. Whenever target creature you control becomes blocked this turn, the defender sacrifices the blocker at end of combat. If the player does, he or she creates a 0/2 Wall artifact creature token with defender.	Basalt Golem	
	Add 3 to your mana pool. This mana doesn't empty until end of turn.	Basalt Monolith	
	Target creature you control gains banding this turn.	Baton of Morale	
	Target creature you control gains banding this combat. Whenever a creature becomes blocked by a Wall, destroy that Wall at end of combat.	Battering Ram	
	Untap all white creatures you control. Whenever a creature blocks this turn, it gets +0/+1 this turn.	Battle Cry	
	Green creatures get +1/+1 this turn. Nongreen creatures get +1/+0 this turn.	Battle Frenzy	
	If you have 200 or more cards in your library, you win the game.	Battle of Wits	
	Create a 1/1 blue Bird creature token with flying and vigilance.	Bay Falcon	
	Target creature you control gets flying and swampwalk this turn.	Bayou Dragonfly 	
	Draw two cards, then discard three cards.	Bazaar of Baghdad	
	Remove all cards in all graveyards from the game. Whenever a spell is played this turn, counter it if a card with the same name is in a graveyard or a nontoken permanent with the same name is in play.	Bazaar of Wonders	
	Chaos deals 5 damage to target creature or player.	Beacon of Destruction	
	Double your life total.	Beacon of Immortality	
	Put target artifact or creature card in a graveyard onto the battlefield.	Beacon of Unrest	
	Create a 2/2 green Bear creature token.	Bear Cub	
	Target creature you control has +X/+X this turn, where X is equal to the number of creatures in play.	Beast of Burden	
	Target creature you control gains banding this turn.	Beast Walkers	
	Target creature you control has protection from red this turn. That creature also gets +1/+1 this turn as long as any opponent controls a white permanent.	Beasts of Bogardan	
	Creatures can't block this turn.	Bedlam	
	Chaos deals 2 damage to target creature or player.	Bee Sting	
	Destroy target land or nonblack creature. It can't be regenerated.	Befoul	
	Target creature you control gets +2/+2 and has trample and lifelink this turn.	Behemoth Sledge	
	Whenever a creature deals damage to another creature this turn, Chaos deals 3 damage to the damaged creature's controller and 3 damage to the controller of the creature that did the damage.	Bellowing Fiend	
	Create a 1/1 Human Soldier creature token with banding.	Benalish Hero	
	Create a 1/3 white Human Soldier creature token with banding.	Benalish Infantry	
	Create a 2/2 white Human Knight creature token with first strike.	Benalish Knight	
	Prevent all combat damage that would be dealt by target blocked creature this turn.	Benalish Missionary	
	If a spell would deal damage to a creature or player this turn, it deals that much damage minus 1 to that creature or player instead.	Benevolent Unicorn	
1	Target creature you control gets islandwalk this turn.	Benthic Behemoth	
	You lose 2 life.	Benthic Djinn	
	Untap a tapped land an opponent controls. Add one mana of any type that land could produce to your mana pool.	Benthic Explorers	
	Whenever a green creature is put into a graveyard from play this turn, its controller discards a card.	Bereavement	
	Target creature you control gains trample and gets +X/+0 this turn, where X is its power. At end of turn, destroy that creature if it attacked this turn.	Berserk	
	Whenever target creature you control becomes blocked this turn, it gets +4/+0 and gains trample this turn.	Bestial Fury	
	Whenever a creature you don't control becomes tapped this turn, you draw a card.	Betrayal	
	Choose one - Sacrifice an untapped creature and target creature gets +2/+0 this turn; or Sacrifice an enchanted creature and creatures you control get +2/+0 this turn.	Betrothed of Fire	
	Whenever target creature is dealt damage this turn, Chaos deals that much damage to its controller.	Binding Agony	
	You control target creature and it gets +0/+1. At the beginning of your upkeep, sacrifice that creature unless you pay 1U.	Binding Grasp	
	Each player's life total becomes the number of creatures he or she controls.	Biorhythm	
	Create a 1/2 red Human Bird creature with flying.	Bird Maiden	
	Create a 0/1 green Bird creature token with "Tap: Add one mana of any color".	Birds of Paradise	
	Chaos deals 4 damage to target creature. Cascade the first spell you cast this turn.	Bituminous Blast	
	Tap all creatures. Sacrifice a creature. Untap a creature.	Black Carriage	
	Create a 2/2 black Human Knight creature token with first strike and protection from white.	Black Knight	
	Add 3 mana of any one color to your mana pool. This mana doesn't empty until end of turn.	Black Lotus	
	Add 1d6+1 B to your mana pool. This mana doesn't empty until end of turn.	Black Mana Battery	
	Target creature you control can't be blocked by black creatures this turn. Target creature you control gets +2/+2 this turn as long as an opponent controls a black permanent.	Black Scarab	
	Chaos deals X damage to target player, where X is the number of cards in his or her hand minus 4.	Black Vise	
	Target creature you control has protection from black this turn.	Black Ward	
	Tear a card you own into pieces. Add four mana of any one color to your mana pool.	Blacker Lotus	
	Target player reveals three cards from his or her hand. You choose one of them. That player discards that card.	Blackmail	
1	Target creature you control gets +1/+1 for each Forest you control until end of turn.	Blanchwood Armor	
	Each land is a Swamp in addition to its other land types this turn.	Blanket of Night	
	Chaos deals 1d6 damage to target creature or player.	Blaze	
	Target untapped creature you don't control can and must block each attacking creature this turn if able.	Blaze of Glory	
	Whenever a creature you control is put into a graveyard from play this turn, that creature deals X damage to target creature, where X is 3 plus the amount of damage dealt to your creature this turn.	Blazing Effigy	
	Your creatures get +0/+1 this turn.	Blessed Orator	
	Defending players gain 3 life for each creature attacking them this turn.	Blessed Reversal	
	Gain 1 life and draw a card.	Blessed Wine	
	Target creature you control gets +1/+1 until end of turn for each land you control.	Blessing	
	Whenever a land becomes tapped this turn, destroy it.	Blight	
	Choose one - Sacrifice a Swamp and target creature you control gets +1/+1 this turn; or Sacrifice a creature and target creature you control gets +2/+2 this turn.	Blighted Shaman	
	Creatures lose trample this turn. If a creature you control would deal combat damage to a creature this turn, it deals double that damage to that creature.	Blind Fury	
	Whenever a creature you control deals combat damage to a player this turn, that player skips his or her next combat phase.	Blinding Angel	
	Tap all nonwhite creatures. They don't untap this turn.	Blinding Light	
	Return target creature you control to its owner's hand.	Blinking Spirit	
	Create a 5/2 red Wall creature token with defender.	Blistering Barrier	
	Creatures you control have trample and haste this turn. At the beginning of your end step, shuffle target creature you control into its owners library.	Blitz Hellion	
